source_id	source_names
Q22226513	"[""spy""]"
Q2009691	"[""orange""]"
Q10856237	"[""snowman""]"
Q1323634	"[""heart""]"
Q58774871	"[""death""]"
Q18508917	"[""king""]"
Q19105268	"[""time""]"
Q12811336	"[""paste""]"
Q1018557	"[""washington""]"
Q28451203	"[""pan""]"
Q32489	"[""knife""]"
Q64619239	"[""bed""]"
Q25017875	"[""air""]"
Q1134237	"[""court""]"
Q26417183	"[""crown""]"
Q33135065	"[""park""]"
Q25415625	"[""boom""]"
Q64579142	"[""dress""]"
Q30066501	"[""park""]"
Q73756526	"[""note""]"
Q7736849	"[""glove""]"
Q30078494	"[""park""]"
Q77489666	"[""cotton""]"
Q66507330	"[""tooth""]"
Q84727600	"[""canada""]"
Q27887700	"[""back""]"
Q30071602	"[""park""]"
Q64534907	"[""ring""]"
Q39939561	"[""hawk""]"
Q3238361	"[""life""]"
Q30100093	"[""park""]"
Q217295	"[""mass""]"
Q13424056	"[""roulette""]"
Q7367638	"[""rose""]"
Q65153099	"[""fire""]"
Q19283054	"[""jupiter""]"
Q30060231	"[""park""]"
Q11201778	"[""grace""]"
Q673748	"[""berlin""]"
Q1111	"[""charge""]"
Q51566	"[""spike""]"
Q2858327	"[""scorpion""]"
Q67808128	"[""court""]"
Q11326349	"[""green""]"
Q2005341	"[""angel""]"
Q80476510	"[""air""]"
Q30961284	"[""park""]"
Q79415872	"[""spring""]"
Q30096436	"[""park""]"
Q78676001	"[""giant""]"
Q61107273	"[""tag""]"
Q64591677	"[""dress""]"
Q64583362	"[""field""]"
Q30095956	"[""park""]"
Q374282	"[""duck""]"
Q15040712	"[""soul""]"
Q30552202	"[""park""]"
Q70149387	"[""war""]"
Q26381477	"[""shop""]"
Q28689701	"[""life""]"
Q257022	"[""bill""]"
Q33084129	"[""park""]"
Q26485075	"[""school""]"
Q1421504	"[""pit""]"
Q42610009	"[""conductor""]"
Q1613639	"[""kiwi""]"
Q28451436	"[""parachute""]"
Q77259410	"[""night""]"
Q2292274	"[""park""]"
Q68980597	"[""change""]"
Q3759748	"[""genius""]"
Q30141994	"[""park""]"
Q4052821	"[""wake""]"
Q32023555	"[""park""]"
Q18202704	"[""phoenix""]"
Q18629932	"[""post""]"
Q1071809	"[""tap""]"
Q5797954	"[""dance""]"
Q30077955	"[""park""]"
Q7884767	"[""unicorn""]"
Q43259692	"[""amazon""]"
Q41551	"[""pipe""]"
