bn:00057808n	NNW#n#1
bn:00058104n	northwest_by_north#n#1
bn:00058105n	northwest_by_west#n#1
bn:00059509n	orientation#n#3
bn:00059586n	orthogonality#n#1
bn:00060576n	parallelogram#n#1
bn:00061592n	perigon#n#1
bn:00061683n	perpendicular#n#1
bn:00061899n	phase_angle#n#1
bn:00062194n	pi#n#1
bn:00062294n	PIE#n#2
bn:00063423n	polygon#n#1
bn:00063428n	polyhedron#n#1
bn:00064136n	prefix#n#1
bn:00064388n	prime_meridian#n#1
bn:00064902n	protractor#n#1
bn:00065492n	quadrilateral#n#1
bn:00065772n	radius#n#1
bn:00067509n	revolutions_per_minute#n#1
bn:00067808n	right#n#2
bn:00067819n	right_angle#n#1
bn:00068328n	rotation#n#2
bn:00070084n	southeast_by_east#n#1
bn:00070088n	southeast_by_south#n#1
bn:00071709n	sine#n#1
bn:00072723n	solid_angle#n#1
bn:00072873n	sou'-sou'-east#n#1
bn:00072874n	sou'-sou'-west#n#1
bn:00073015n	southwest_by_south#n#1
bn:00073016n	southwest_by_west#n#1
bn:00073310n	sphere#n#5
bn:00073313n	spherical_angle#n#1
bn:00073419n	spiral#n#1
bn:00073964n	star#n#1
bn:00076033n	tangent#n#1
bn:00076415n	telescopic_sight#n#1
bn:00076749n	Thales#n#1
bn:00078214n	triangularity#n#1
bn:00078215n	triangulation#n#1
bn:00079106n	unit#n#1
bn:00079654n	vector#n#2
bn:00079833n	vertex#n#1
bn:00080914n	west_northwest#n#1
bn:00082021n	zenith#n#1
bn:00178565n	Simple_polygon
bn:00266465n	Hyperbolic_angle
bn:00320394n	Clock_angle_problem
bn:00527530n	transversal_(geometry)
bn:00554779n	Sexagesimal
bn:00597112n	Orientation_(vector_space)
bn:00625366n	Springer-Verlag_Berlin_Heidelberg
bn:00679582n	Argument_(complex_analysis)
bn:00706122n	International_Standard_Book_Number
bn:00718985n	Greek_mathematics
bn:00767021n	Negative_number
bn:00780722n	Two-dimensional_space
bn:00868334n	Carpus_of_Antioch
bn:00906698n	Theta
bn:00972865n	normal_(geometry)
bn:01039526n	Astrological_aspect
bn:01074356n	Logo_(programming_language)
bn:01156837n	Public_domain
bn:01201421n	Exterior_angle_theorem
bn:01208784n	Mathematical_constant
bn:01212966n	cyclic_quadrilateral
bn:01219931n	Tangent_lines_to_circles
bn:01228429n	Metric_tensor
bn:01236662n	circular_sector
bn:01244081n	Skew_lines
bn:01258038n	measure_(mathematics)
bn:01278628n	Dutch_angle
bn:01283631n	Small-angle_approximation
bn:01294150n	c
bn:01502112n	Concurrent_lines
bn:01752019n	12-hour_clock
bn:01783443n	Euclid's_Elements
bn:01825275n	Proclus
bn:01861403n	Angles_between_flats
bn:01923401n	Thomas_Little_Heath
bn:01967191n	Pierre_Wantzel
bn:02012642n	Clockwise
bn:02052198n	Rational_trigonometry
bn:02282022n	Spherical_coordinate_system
bn:02320721n	Francis_Dominic_Murnaghan_(mathematician)
bn:02387189n	Gudermannian_function
bn:02512550n	Clock_position
bn:02529895n	Unicode
bn:02545489n	Collinearity
bn:02613519n	Cut-the-Knot
bn:02740861n	dihedral_angle
bn:02811871n	Eudemus_of_Rhodes
bn:03086255n	MathWorld
bn:03095204n	Great-circle_distance
bn:03105102n	Babylonian_mathematics
bn:03227988n	central_angle
bn:03228049n	Inscribed_angle
bn:03231014n	Encyclopedia_of_Mathematics
bn:03258127n	Geographic_coordinate_system
bn:03258354n	Celestial_coordinate_system
bn:03521011n	Linguistics_Research_Center_at_UT_Austin
bn:03586920n	Binary_scaling
bn:03592880n	1911_Encyclopedia_Britannica
bn:03630697n	James_Jeans
bn:03706857n	Angular_diameter
bn:03716431n	Eric_W._Weisstein
bn:03803867n	Angle_trisection
bn:03840276n	Irrational_rotation
bn:03847360n	Britannica
bn:14817685n	variable_(mathematics)
bn:15272620n	Dimensional_analysis
bn:15817250n	Integrated_Authority_File
bn:15961859n	curve
bn:16369541n	horizon
bn:16582889n	Compass-and-straightedge_construction
bn:16837145n	Extended_side
bn:17384470n	Surface_(mathematics)
bn:17562942n	Angular_unit
bn:21706422n	inner_product_space
bn:00040181n	geometry#n#1
bn:00065456n	Pythagoras#n#1
bn:00078277n	trigonometry#n#1
bn:03299964n	dimensionless_quantity
bn:00053823n	mathematics#n#1
bn:00067815n	right_triangle#n#1
bn:00003804n	analytic_geometry#n#1
bn:00057896n	non-Euclidean_geometry#n#1
bn:00060569n	parallel#n#3
bn:00068323n	rotary_motion#n#1
bn:00071670n	similarity#n#1
bn:00072726n	solid_geometry#n#1
bn:00612340n	Authority_control
bn:01156816n	Wikimedia_Commons
bn:03147191n	Glide_reflection
bn:03718447n	Hilbert's_axioms
bn:05712835n	bn:05712835n
bn:13970742n	Acute_angle
bn:15416190n	bn:15416190n
bn:15591207n	Point_(geometry)
bn:15820867n	bn:15820867n
bn:16968440n	Geometric_transformation
bn:00003797n	analysis#n#5
bn:00005365n	arc_cosecant#n#1
bn:00005366n	arc_cosine#n#1
bn:00005367n	arc_cotangent#n#1
bn:00005369n	arc_secant#n#1
bn:00005370n	arc_sine#n#1
bn:00005371n	arc_tangent#n#1
bn:00006173n	artillery#n#2
bn:00007677n	Babylon#n#1
bn:00017011n	declination#n#3
bn:00017012n	right_ascension#n#1
bn:00021309n	compass#n#1
bn:00022459n	coordinate_system#n#1
bn:00027152n	dimension#n#3
bn:00036202n	France#n#1
bn:00040155n	geodesy#n#1
bn:00040977n	golden_section#n#1
bn:00041053n	goniometer#n#1
bn:00041412n	graph#n#1
bn:00054060n	mechanics#n#1
bn:00054660n	metric_space#n#1
bn:00056996n	physics#n#1
bn:00061135n	percent#n#1
bn:00068525n	ruler#n#2
bn:00072154n	slide_rule#n#1
bn:00073776n	steradian#n#1
bn:00284673n	Planimetrics
bn:01272699n	angular_frequency
bn:01300839n	Microsoft_Excel
bn:01523879n	Solution_of_triangles
bn:02064661n	unit_circle
bn:02591657n	Vector_space
bn:02832609n	1932
bn:02868260n	1634
bn:03213002n	Orthogonal_functions
bn:03569698n	Topographic_map
bn:03854174n	empty_set
bn:03977972n	bn:03977972n
bn:04521224n	half-line
bn:06023401n	bn:06023401n
bn:12741825n	bn:12741825n
bn:15071288n	angle_bisector
bn:15881023n	Continuous_function
bn:17228548n	linear_function_(calculus)
bn:12840865n	bn:12840865n
bn:12841144n	bn:12841144n
bn:12848787n	bn:12848787n
bn:00001296n	addition#n#6
bn:00005702n	arm#n#1
bn:00008908n	Basque#n#1
bn:00024979n	digit#n#3
bn:00035811n	forefinger#n#1
bn:00042759n	hand#n#1
bn:00047009n	integer#n#1
bn:00051585n	little_finger#n#1
bn:00055233n	subtraction#n#1
bn:00059221n	optics#n#1
bn:00063376n	thumb#n#1
bn:00075170n	sun#n#1
bn:01773356n	Anglet
bn:03021632n	Cross-multiplication
bn:14166905n	Indo-European
bn:18059160n	bn:18059160n
bn:18059188n	bn:18059188n
bn:00013189n	British_Imperial_System#n#1
bn:00041249n	slope#n#2
bn:00046209n	inch#n#1
bn:00047159n	mile#n#1
bn:00052501n	m#n#1
bn:00054054n	mechanical_engineering#n#1
bn:00067807n	right#n#1
bn:02396012n	Taylor_series
bn:03524632n	Disk_read-and-write_head
bn:03971301n	bn:03971301n
bn:09219378n	bn:09219378n
bn:14496840n	tan_function
bn:21706373n	Polar_coordinate_system
bn:00003923n	Ancient_Greek#n#1
bn:00007050n	attitude#n#4
bn:00007520n	roll#n#1
bn:00013723n	construction#n#1
bn:00027749n	distance#n#3
bn:00036821n	function#n#1
bn:00040153n	geodesic#n#1
bn:00047659n	isometry#n#2
bn:00053825n	mathematical_notation#n#1
bn:00054025n	measuring_instrument#n#1
bn:00068174n	roman_type#n#1
bn:00070796n	sextant#n#2
bn:00297963n	Precision_(computer_science)
bn:01113656n	Limaçon_trisectrix
bn:01218931n	law_of_cosines
bn:02044032n	SI_derived_unit
bn:02935622n	scalar_(mathematics)
bn:03097503n	Cauchy–Schwarz_inequality
bn:03244496n	International_Bureau_of_Weights_and_Measures
bn:03427056n	Institut_d'Estudis_Catalans
